Time,U1E,U2E,U3E,U0E,U12,U23,U31,U12H2,U23H2,U31H2,U12H4,U23H4,U31H4,U12H6,U23H6,U31H6,U12H8
5/25/2018 8:59,242067,242231,241220,3650.88,418287,418498,419706,0.00840473,0.00965258,0.00816085,0.00817981,0.00905688,0.0102392,0.00559378,0.00554799,0.00487624,0.0126174
5/25/2018 9:09,242310,242379,241430,3661.43,418601,418804,420126,0.00684453,0.0085285,0.00783974,0.00608156,0.00650423,0.00780432,0.00611031,0.0054524,0.00575295,0.010386
5/25/2018 9:19,242548,242721,241761,3666.1,419067,419422,420621,0.0068986,0.00914337,0.00817913,0.00595998,0.00715532,0.00875825,0.00663217,0.00642932,0.00697341,0.0121843
5/25/2018 9:29,242216,242442,241474,3653.54,418530,418951,420076,0.00638714,0.00753445,0.00841184,0.00476684,0.00530439,0.00601296,0.00658018,0.00456874,0.00586841,0.0118489
5/25/2018 9:39,242076,242234,241288,3650.14,418238,418601,419791,0.00915245,0.0108994,0.00996091,0.00629176,0.00696278,0.00802532,0.0065179,0.00598279,0.00611788,0.0139301
5/25/2018 9:49,241854,242132,241146,3647.39,417937,418416,419469,0.00809881,0.00968102,0.00848839,0.00644091,0.0076435,0.00853471,0.00662059,0.00591688,0.00683973,0.0129478
5/25/2018 9:59,241746,242133,241100,3644.13,417837,418388,419332,0.00972556,0.0107136,0.010129,0.00678332,0.00732185,0.00890819,0.00601663,0.00650939,0.00652422,0.0133814
5/25/2018 10:09,241394,241595,240680,3638.53,417073,417525,418691,0.00900446,0.0102295,0.00947026,0.00813298,0.00897351,0.0107499,0.00554277,0.00691096,0.00700235,0.0122887
5/25/2018 10:19,241230,241481,240580,3626.12,416806,417363,418465,0.00619485,0.00851475,0.00744923,0.00656023,0.00843588,0.0072442,0.00596139,0.00797339,0.00711308,0.0137282
5/25/2018 10:29,240761,241078,240121,3619.5,416049,416631,417651,0.00647494,0.00840573,0.00757641,0.00469746,0.00633639,0.0057167,0.00571656,0.00556827,0.00652978,0.010287
5/25/2018 10:39,240144,240498,239571,3606.71,414987,415677,416642,0.00664369,0.00886403,0.00917771,0.00813255,0.00974154,0.00679782,0.00671735,0.00464215,0.00648358,0.0112153
5/25/2018 10:49,239523,239997,239000,3603.89,414013,414769,415589,0.00866026,0.010516,0.0103474,0.00673594,0.00900209,0.00675894,0.00545582,0.00515087,0.00646893,0.00908857
5/25/2018 10:59,240947,241588,240503,3634.62,416642,417460,418096,0.00821962,0.0103155,0.00920337,0.00573167,0.00844742,0.00799345,0.00552255,0.00550995,0.00607335,0.0100721
5/25/2018 11:09,240237,240741,239757,3626.54,415287,416059,416862,0.0106848,0.011611,0.0110884,0.00697342,0.00954568,0.00886119,0.00564208,0.00624374,0.00698643,0.013727
5/25/2018 11:19,240824,241356,240314,3634.62,416322,417097,417834,0.00828119,0.00988011,0.00951313,0.00756599,0.00979945,0.010044,0.0050625,0.0055579,0.00634029,0.0112168
5/25/2018 11:29,240697,241188,240140,3630.76,416064,416797,417582,0.00740806,0.0086317,0.00700189,0.00530809,0.00820468,0.00829619,0.00462422,0.00607172,0.00597423,0.0116735
5/25/2018 11:39,240852,241340,240300,3626.59,416334,417060,417860,0.00947261,0.0110274,0.00916162,0.00913549,0.0111255,0.0123138,0.00462068,0.00625881,0.00705662,0.0127653
5/25/2018 11:49,241051,241549,240497,3629.91,416695,417409,418194,0.00892426,0.00978489,0.00789944,0.00658621,0.00809354,0.0102443,0.00443279,0.00631274,0.00702713,0.0106107
5/25/2018 11:59,241497,242075,241017,3632.67,417516,418329,419040,0.00959599,0.0115127,0.00964149,0.00690345,0.00796263,0.00979348,0.00976645,0.00687651,0.00884138,0.015477
5/25/2018 12:09,241124,241560,240583,3619.07,416732,417494,418369,0.00811349,0.0108163,0.00912224,0.00663733,0.00914205,0.00948961,0.0051401,0.00603325,0.00734448,0.0108469
5/25/2018 12:19,240994,241460,240474,3620.73,416527,417320,418160,0.01005,0.0113443,0.0119789,0.00908599,0.0126299,0.0129108,0.00531035,0.00569458,0.00637705,0.0156609
5/25/2018 12:29,241379,241862,240886,3616.62,417206,418034,418846,0.00896786,0.00993154,0.010285,0.00919645,0.0117866,0.0124113,0.00510867,0.00471346,0.00607472,0.0156423
5/25/2018 12:39,241554,241964,241017,3608.74,417458,418233,419101,0.00864916,0.0104451,0.00895977,0.00530369,0.0091317,0.0086458,0.00485137,0.00540974,0.00687497,0.0151909
5/25/2018 12:49,241534,241833,240965,3594.19,417328,418067,419046,0.00864476,0.00977747,0.0100302,0.00666268,0.0105411,0.00998089,0.00508386,0.00700315,0.00718828,0.0171056
5/25/2018 12:59,241706,241913,241074,3590.18,417567,418206,419292,0.00994293,0.0118709,0.0109088,0.00747584,0.0101027,0.0107111,0.00527855,0.00642008,0.00627387,0.0131909
5/25/2018 13:09,241877,241987,241166,3578.07,417822,418317,419512,0.0081755,0.00940979,0.00941666,0.00657197,0.00949503,0.00941591,0.00588895,0.00834668,0.00862951,0.0144406
5/25/2018 13:19,242300,242318,241530,3580.14,418488,418901,420196,0.0056929,0.00761709,0.00763271,0.0057034,0.00887465,0.00891643,0.00569414,0.00793449,0.00656732,0.0120294
5/25/2018 13:29,242386,242392,241619,3591.32,418616,419030,420370,0.00657971,0.00866223,0.00877859,0.00556642,0.00875086,0.00861735,0.00605367,0.00645666,0.00860418,0.0146487
5/25/2018 13:39,242520,242415,241616,3599.08,418744,418943,420598,0.00841839,0.00972165,0.00976893,0.00537263,0.00790143,0.00829054,0.00507523,0.00818031,0.00880327,0.011513
5/25/2018 13:49,242928,243014,241990,3866.45,419046,419438,422168,0.00791675,0.00986133,0.00932522,0.00536831,0.00746946,0.00811279,0.00543701,0.00726231,0.00775598,0.0109838
5/25/2018 13:59,242871,242860,242098,3597.66,419470,419824,421204,0.0108934,0.0120268,0.0122703,0.00654242,0.00868698,0.00908421,0.00610105,0.00744296,0.00842799,0.0129797
5/25/2018 14:09,242789,242852,241984,3606.65,419407,419719,421018,0.00783155,0.00945982,0.00993927,0.00587286,0.00815322,0.00864305,0.00636752,0.00791845,0.00963298,0.0112197
5/25/2018 14:19,241390,241375,240553,3591,416890,417210,418585,0.00628073,0.00890319,0.00888446,0.00741715,0.0100769,0.0087537,0.00516776,0.0063542,0.00670878,0.0133062
